Ky,Ngay,Time,Main,Special,DisplayLines,Label,SourceUrl,SourceDate
1214,10/07/2025,,"12,33,34,42,44,53",3,12 33 34 42 44 53 | ĐB 03,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-10-07-2025.html,10/07/2025
1213,08/07/2025,,"23,24,32,42,48,50",31,23 24 32 42 48 50 | ĐB 31,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-08-07-2025.html,08/07/2025
1212,05/07/2025,,"3,15,22,45,51,55",54,03 15 22 45 51 55 | ĐB 54,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-05-07-2025.html,05/07/2025
1211,03/07/2025,,"18,19,29,31,45,54",27,18 19 29 31 45 54 | ĐB 27,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-03-07-2025.html,03/07/2025
1210,01/07/2025,,"3,11,12,14,27,33",15,03 11 12 14 27 33 | ĐB 15,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-01-07-2025.html,01/07/2025
1209,28/06/2025,,"8,11,13,20,45,50",25,08 11 13 20 45 50 | ĐB 25,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-28-06-2025.html,28/06/2025
1208,26/06/2025,,"1,14,16,27,40,51",2,01 14 16 27 40 51 | ĐB 02,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-26-06-2025.html,26/06/2025
1207,24/06/2025,,"3,9,18,20,30,53",48,03 09 18 20 30 53 | ĐB 48,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-24-06-2025.html,24/06/2025
1206,21/06/2025,,"6,10,15,43,44,53",32,06 10 15 43 44 53 | ĐB 32,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-21-06-2025.html,21/06/2025
1205,19/06/2025,,"3,5,9,10,16,47",34,03 05 09 10 16 47 | ĐB 34,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-19-06-2025.html,19/06/2025
1204,17/06/2025,,"7,13,18,22,32,44",43,07 13 18 22 32 44 | ĐB 43,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-17-06-2025.html,17/06/2025
1203,14/06/2025,,"11,12,22,26,41,47",24,11 12 22 26 41 47 | ĐB 24,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-14-06-2025.html,14/06/2025
1202,12/06/2025,,"6,8,16,18,34,44",17,06 08 16 18 34 44 | ĐB 17,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-12-06-2025.html,12/06/2025
1201,10/06/2025,,"3,6,21,29,40,41",37,03 06 21 29 40 41 | ĐB 37,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-10-06-2025.html,10/06/2025
1200,07/06/2025,,"12,17,21,46,48,52",45,12 17 21 46 48 52 | ĐB 45,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-07-06-2025.html,07/06/2025
1199,05/06/2025,,"14,21,33,37,46,49",34,14 21 33 37 46 49 | ĐB 34,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-05-06-2025.html,05/06/2025
1198,03/06/2025,,"2,11,14,16,27,38",51,02 11 14 16 27 38 | ĐB 51,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-03-06-2025.html,03/06/2025
1197,31/05/2025,,"6,24,41,45,49,55",8,06 24 41 45 49 55 | ĐB 08,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-31-05-2025.html,31/05/2025
1196,29/05/2025,,"9,37,42,45,46,50",14,09 37 42 45 46 50 | ĐB 14,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-29-05-2025.html,29/05/2025
1195,27/05/2025,,"4,12,18,19,44,48",42,04 12 18 19 44 48 | ĐB 42,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-27-05-2025.html,27/05/2025
1194,24/05/2025,,"19,20,27,30,45,55",15,19 20 27 30 45 55 | ĐB 15,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-24-05-2025.html,24/05/2025
1193,22/05/2025,,"3,9,14,41,47,55",22,03 09 14 41 47 55 | ĐB 22,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-22-05-2025.html,22/05/2025
